par_name,par_true,par_hat,iter,seed,species
log_kappaS,-3.752399186239947,-3.65075054210076,1,73306,capelin
kappaT,1.998815110331278,2.623858216202419,1,73306,capelin
kappaST,0.5115413046457353,1.1824463302407078,1,73306,capelin
gamma_j,-1.366702112764886,-1.2974634350889025,1,73306,capelin
gamma_j,-0.20418998832033516,-0.37044848886919773,1,73306,capelin
beta_k,-3.6861840593749773,-4.148782388576866,1,73306,capelin
ln_tauO,2.291462337712019,2.211926514569303,1,73306,capelin
ln_tauE,2.5960761564785644,2.5432063875581523,1,73306,capelin
ln_kappa,-4.607785606808849,-4.569780120880271,1,73306,capelin
ln_phi,0.004875038816681803,-0.018931868441168915,1,73306,capelin
logit_rhoE,-1.757292894647811,-1.3348342404255071,1,73306,capelin
finv_power,0.11382944103590899,0.11363710845294146,1,73306,capelin
log_kappaS,-3.752399186239947,-3.847121251309647,2,93152,capelin
kappaT,1.998815110331278,1.9427066390287575,2,93152,capelin
kappaST,0.5115413046457353,-0.394880595406388,2,93152,capelin
gamma_j,-1.366702112764886,-1.4430490721483595,2,93152,capelin
gamma_j,-0.20418998832033516,-0.30480669822649403,2,93152,capelin
beta_k,-3.6861840593749773,-5.213457588701721,2,93152,capelin
ln_tauO,2.291462337712019,2.1942327188817132,2,93152,capelin
ln_tauE,2.5960761564785644,2.4591516508529807,2,93152,capelin
ln_kappa,-4.607785606808849,-4.497113464134549,2,93152,capelin
ln_phi,0.004875038816681803,-0.06121879919936451,2,93152,capelin
logit_rhoE,-1.757292894647811,-1.6988712149399123,2,93152,capelin
finv_power,0.11382944103590899,0.08685405426621,2,93152,capelin
log_kappaS,-3.752399186239947,-3.391194761525853,3,90438,capelin
kappaT,1.998815110331278,9.704628754833811,3,90438,capelin
kappaST,0.5115413046457353,1.4722093767686615,3,90438,capelin
gamma_j,-1.366702112764886,-2.3942302126362707,3,90438,capelin
gamma_j,-0.20418998832033516,0.29407368563291403,3,90438,capelin
beta_k,-3.6861840593749773,-4.55082150229962,3,90438,capelin
ln_tauO,2.291462337712019,2.2885177131857732,3,90438,capelin
ln_tauE,2.5960761564785644,2.4483463307355664,3,90438,capelin
ln_kappa,-4.607785606808849,-4.537922271369589,3,90438,capelin
ln_phi,0.004875038816681803,-0.039029379190753145,3,90438,capelin
logit_rhoE,-1.757292894647811,-2.5629571563967017,3,90438,capelin
finv_power,0.11382944103590899,0.0995121688203733,3,90438,capelin
log_kappaS,-3.752399186239947,-3.5342047629508477,4,74530,capelin
kappaT,1.998815110331278,4.495219055853959,4,74530,capelin
kappaST,0.5115413046457353,2.4088091181793336,4,74530,capelin
gamma_j,-1.366702112764886,-2.145172604971411,4,74530,capelin
gamma_j,-0.20418998832033516,-0.499498247798365,4,74530,capelin
beta_k,-3.6861840593749773,-6.60187138948305,4,74530,capelin
ln_tauO,2.291462337712019,2.1371723805077867,4,74530,capelin
ln_tauE,2.5960761564785644,2.3184178238096482,4,74530,capelin
ln_kappa,-4.607785606808849,-4.404570475141945,4,74530,capelin
ln_phi,0.004875038816681803,-0.04786179370720773,4,74530,capelin
logit_rhoE,-1.757292894647811,-2.5607448223729357,4,74530,capelin
finv_power,0.11382944103590899,0.09615839054322006,4,74530,capelin
log_kappaS,-3.752399186239947,-3.7153762212562023,5,89604,capelin
kappaT,1.998815110331278,1.6481686367219552,5,89604,capelin
kappaST,0.5115413046457353,0.8470050794367459,5,89604,capelin
gamma_j,-1.366702112764886,-1.2049022697729623,5,89604,capelin
gamma_j,-0.20418998832033516,-0.014310552356190219,5,89604,capelin
beta_k,-3.6861840593749773,-4.813327703935302,5,89604,capelin
ln_tauO,2.291462337712019,2.379470345160304,5,89604,capelin
ln_tauE,2.5960761564785644,2.561492249949358,5,89604,capelin
ln_kappa,-4.607785606808849,-4.608968262382536,5,89604,capelin
ln_phi,0.004875038816681803,0.04754779315971344,5,89604,capelin
logit_rhoE,-1.757292894647811,-2.2940876330777287,5,89604,capelin
finv_power,0.11382944103590899,0.13659480727781462,5,89604,capelin
log_kappaS,-3.752399186239947,-3.7874533145016414,6,35619,capelin
kappaT,1.998815110331278,1.0798139732188232,6,35619,capelin
kappaST,0.5115413046457353,-0.8648354045262822,6,35619,capelin
gamma_j,-1.366702112764886,-1.313584985076381,6,35619,capelin
gamma_j,-0.20418998832033516,-0.17970372582236493,6,35619,capelin
beta_k,-3.6861840593749773,-3.545136495612003,6,35619,capelin
ln_tauO,2.291462337712019,2.2087600384251096,6,35619,capelin
ln_tauE,2.5960761564785644,2.5666937541257133,6,35619,capelin
ln_kappa,-4.607785606808849,-4.601902438815743,6,35619,capelin
ln_phi,0.004875038816681803,0.028573686490133362,6,35619,capelin
logit_rhoE,-1.757292894647811,-2.161621045304495,6,35619,capelin
finv_power,0.11382944103590899,0.10747992568831038,6,35619,capelin
log_kappaS,-3.752399186239947,-3.425734723358066,7,46490,capelin
kappaT,1.998815110331278,3.874898062357753,7,46490,capelin
kappaST,0.5115413046457353,3.5943900495811945,7,46490,capelin
gamma_j,-1.366702112764886,-1.8311036839383232,7,46490,capelin
gamma_j,-0.20418998832033516,-0.4069930637018384,7,46490,capelin
beta_k,-3.6861840593749773,-4.875760663504989,7,46490,capelin
ln_tauO,2.291462337712019,2.2135859650424288,7,46490,capelin
ln_tauE,2.5960761564785644,2.433452425690988,7,46490,capelin
ln_kappa,-4.607785606808849,-4.4691333965853985,7,46490,capelin
ln_phi,0.004875038816681803,-0.04344352453935885,7,46490,capelin
logit_rhoE,-1.757292894647811,-2.1108882106079325,7,46490,capelin
finv_power,0.11382944103590899,0.09083067257893333,7,46490,capelin
log_kappaS,-3.752399186239947,-4.738995207624627,8,18458,capelin
kappaT,1.998815110331278,3.002206333172295,8,18458,capelin
kappaST,0.5115413046457353,0.35231430580844403,8,18458,capelin
gamma_j,-1.366702112764886,-1.5002527792114844,8,18458,capelin
gamma_j,-0.20418998832033516,0.7434302610093813,8,18458,capelin
beta_k,-3.6861840593749773,-3.1853060379922753,8,18458,capelin
ln_tauO,2.291462337712019,2.3818200385389994,8,18458,capelin
ln_tauE,2.5960761564785644,2.5397461537952313,8,18458,capelin
ln_kappa,-4.607785606808849,-4.556117365766023,8,18458,capelin
ln_phi,0.004875038816681803,0.03677561079476874,8,18458,capelin
logit_rhoE,-1.757292894647811,-1.7095223569203388,8,18458,capelin
finv_power,0.11382944103590899,0.1499369017361531,8,18458,capelin
log_kappaS,-3.752399186239947,-2.971427701537258,9,41538,capelin
kappaT,1.998815110331278,1.3501706125336992,9,41538,capelin
kappaST,0.5115413046457353,-8.40656449342677,9,41538,capelin
gamma_j,-1.366702112764886,-1.3031999829894958,9,41538,capelin
gamma_j,-0.20418998832033516,-0.07532243262085707,9,41538,capelin
beta_k,-3.6861840593749773,-6.859402046993376,9,41538,capelin
ln_tauO,2.291462337712019,2.362719587368184,9,41538,capelin
ln_tauE,2.5960761564785644,2.4651050063826965,9,41538,capelin
ln_kappa,-4.607785606808849,-4.52980908518878,9,41538,capelin
ln_phi,0.004875038816681803,-0.05522928988025423,9,41538,capelin
logit_rhoE,-1.757292894647811,-17.143419430915582,9,41538,capelin
finv_power,0.11382944103590899,0.07787790065109289,9,41538,capelin
log_kappaS,-3.752399186239947,-3.231316404828272,10,22633,capelin
kappaT,1.998815110331278,2.5964795933442444,10,22633,capelin
kappaST,0.5115413046457353,-1.0627022493874905,10,22633,capelin
gamma_j,-1.366702112764886,-1.2984033931876515,10,22633,capelin
gamma_j,-0.20418998832033516,-0.6586829888393524,10,22633,capelin
beta_k,-3.6861840593749773,-3.982413615424621,10,22633,capelin
ln_tauO,2.291462337712019,2.313849961770636,10,22633,capelin
ln_tauE,2.5960761564785644,2.5434482292313754,10,22633,capelin
ln_kappa,-4.607785606808849,-4.573573524113874,10,22633,capelin
ln_phi,0.004875038816681803,0.015469524057505379,10,22633,capelin
logit_rhoE,-1.757292894647811,-2.133899415389813,10,22633,capelin
finv_power,0.11382944103590899,0.12992741664314073,10,22633,capelin
log_kappaS,-3.752399186239947,-3.7054499452754537,11,83641,capelin
kappaT,1.998815110331278,1.4130369161430585,11,83641,capelin
kappaST,0.5115413046457353,-2.240563737430997,11,83641,capelin
gamma_j,-1.366702112764886,-1.1861666452003488,11,83641,capelin
gamma_j,-0.20418998832033516,-0.24311997126836138,11,83641,capelin
beta_k,-3.6861840593749773,-2.8149699779972934,11,83641,capelin
ln_tauO,2.291462337712019,2.3599947854012218,11,83641,capelin
ln_tauE,2.5960761564785644,2.5706773584906535,11,83641,capelin
ln_kappa,-4.607785606808849,-4.531268616293664,11,83641,capelin
ln_phi,0.004875038816681803,0.012035443741245228,11,83641,capelin
logit_rhoE,-1.757292894647811,-1.8154502987662808,11,83641,capelin
finv_power,0.11382944103590899,0.13103961583099616,11,83641,capelin
log_kappaS,-3.752399186239947,-3.5993798769954264,12,48759,capelin
kappaT,1.998815110331278,1.4432737848028083,12,48759,capelin
kappaST,0.5115413046457353,0.0943278077401242,12,48759,capelin
gamma_j,-1.366702112764886,-1.1849893658610038,12,48759,capelin
gamma_j,-0.20418998832033516,-0.048921809798918275,12,48759,capelin
beta_k,-3.6861840593749773,-2.5329981675658257,12,48759,capelin
ln_tauO,2.291462337712019,2.413973193976383,12,48759,capelin
ln_tauE,2.5960761564785644,2.5331101637697797,12,48759,capelin
ln_kappa,-4.607785606808849,-4.5376113584229385,12,48759,capelin
ln_phi,0.004875038816681803,0.009904335942134872,12,48759,capelin
logit_rhoE,-1.757292894647811,-1.6751820273775082,12,48759,capelin
finv_power,0.11382944103590899,0.10874366857012417,12,48759,capelin
log_kappaS,-3.752399186239947,-4.175449203637707,13,51280,capelin
kappaT,1.998815110331278,1.159609718405413,13,51280,capelin
kappaST,0.5115413046457353,0.31045994778238417,13,51280,capelin
gamma_j,-1.366702112764886,-0.9589653631467319,13,51280,capelin
gamma_j,-0.20418998832033516,0.08221865179164341,13,51280,capelin
beta_k,-3.6861840593749773,-3.4579110694110065,13,51280,capelin
ln_tauO,2.291462337712019,2.2786015552506322,13,51280,capelin
ln_tauE,2.5960761564785644,2.5107747360167223,13,51280,capelin
ln_kappa,-4.607785606808849,-4.535931015121441,13,51280,capelin
ln_phi,0.004875038816681803,-0.015671189401829877,13,51280,capelin
logit_rhoE,-1.757292894647811,-1.8131946223079338,13,51280,capelin
finv_power,0.11382944103590899,0.11022463890098341,13,51280,capelin
log_kappaS,-3.752399186239947,-3.2097807645391505,14,4503,capelin
kappaT,1.998815110331278,2.1903441588209094,14,4503,capelin
kappaST,0.5115413046457353,-5.027752012593673,14,4503,capelin
gamma_j,-1.366702112764886,-1.4319409635211957,14,4503,capelin
gamma_j,-0.20418998832033516,-0.3843203381823516,14,4503,capelin
beta_k,-3.6861840593749773,-5.064196707047772,14,4503,capelin
ln_tauO,2.291462337712019,2.3288523646045545,14,4503,capelin
ln_tauE,2.5960761564785644,2.4120268392258146,14,4503,capelin
ln_kappa,-4.607785606808849,-4.4975849001965935,14,4503,capelin
ln_phi,0.004875038816681803,-0.025224404103114856,14,4503,capelin
logit_rhoE,-1.757292894647811,-1.573171792514441,14,4503,capelin
finv_power,0.11382944103590899,0.1168159117092479,14,4503,capelin
log_kappaS,-3.752399186239947,-4.031192034777231,15,31299,capelin
kappaT,1.998815110331278,1.579717093969309,15,31299,capelin
kappaST,0.5115413046457353,0.7153196159884023,15,31299,capelin
gamma_j,-1.366702112764886,-1.3187811085810741,15,31299,capelin
gamma_j,-0.20418998832033516,-0.20774780807265675,15,31299,capelin
beta_k,-3.6861840593749773,-3.8369283900246662,15,31299,capelin
ln_tauO,2.291462337712019,2.2872025927391633,15,31299,capelin
ln_tauE,2.5960761564785644,2.5669762363066435,15,31299,capelin
ln_kappa,-4.607785606808849,-4.58341489297013,15,31299,capelin
ln_phi,0.004875038816681803,-0.026960323567258956,15,31299,capelin
logit_rhoE,-1.757292894647811,-1.5699173010010186,15,31299,capelin
finv_power,0.11382944103590899,0.09358169779542523,15,31299,capelin
log_kappaS,-3.752399186239947,-3.455299274922669,16,2558,capelin
kappaT,1.998815110331278,1.4079320907913195,16,2558,capelin
kappaST,0.5115413046457353,-2.2137886418811643,16,2558,capelin
gamma_j,-1.366702112764886,-1.4979911713138634,16,2558,capelin
gamma_j,-0.20418998832033516,-0.5677165348110265,16,2558,capelin
beta_k,-3.6861840593749773,-3.0337626580715473,16,2558,capelin
ln_tauO,2.291462337712019,2.3898031448534685,16,2558,capelin
ln_tauE,2.5960761564785644,2.5621242234984303,16,2558,capelin
ln_kappa,-4.607785606808849,-4.605045878255977,16,2558,capelin
ln_phi,0.004875038816681803,-0.010212946886785023,16,2558,capelin
logit_rhoE,-1.757292894647811,-1.7980323763626767,16,2558,capelin
finv_power,0.11382944103590899,0.10572665007154422,16,2558,capelin
log_kappaS,-3.752399186239947,-3.9739829309449357,17,69503,capelin
kappaT,1.998815110331278,2.769349913711588,17,69503,capelin
kappaST,0.5115413046457353,1.3459250090542871,17,69503,capelin
gamma_j,-1.366702112764886,-1.8702983098617043,17,69503,capelin
gamma_j,-0.20418998832033516,-0.5896061473527687,17,69503,capelin
beta_k,-3.6861840593749773,-5.727333780880617,17,69503,capelin
ln_tauO,2.291462337712019,2.3562685376715025,17,69503,capelin
ln_tauE,2.5960761564785644,2.5418172152486544,17,69503,capelin
ln_kappa,-4.607785606808849,-4.607189604171296,17,69503,capelin
ln_phi,0.004875038816681803,-0.009267752141232176,17,69503,capelin
logit_rhoE,-1.757292894647811,-1.2184851794383236,17,69503,capelin
finv_power,0.11382944103590899,0.10455431434534276,17,69503,capelin
log_kappaS,-3.752399186239947,-4.163836875260861,18,15335,capelin
kappaT,1.998815110331278,1.6378119154602164,18,15335,capelin
kappaST,0.5115413046457353,0.865559594817462,18,15335,capelin
gamma_j,-1.366702112764886,-1.088781735129297,18,15335,capelin
gamma_j,-0.20418998832033516,-0.440075457499066,18,15335,capelin
beta_k,-3.6861840593749773,-3.1930948615214185,18,15335,capelin
ln_tauO,2.291462337712019,2.1976582517999095,18,15335,capelin
ln_tauE,2.5960761564785644,2.5192905123774785,18,15335,capelin
ln_kappa,-4.607785606808849,-4.536023848412389,18,15335,capelin
ln_phi,0.004875038816681803,0.01871581263228704,18,15335,capelin
logit_rhoE,-1.757292894647811,-1.8097028086649456,18,15335,capelin
finv_power,0.11382944103590899,0.11338594538835574,18,15335,capelin
log_kappaS,-3.752399186239947,-4.458692837545217,19,41131,capelin
kappaT,1.998815110331278,5.215949534148425,19,41131,capelin
kappaST,0.5115413046457353,0.7318806702404823,19,41131,capelin
gamma_j,-1.366702112764886,-2.584225919014843,19,41131,capelin
gamma_j,-0.20418998832033516,-0.2567006150661119,19,41131,capelin
beta_k,-3.6861840593749773,-3.838893032770145,19,41131,capelin
ln_tauO,2.291462337712019,2.5032069630942066,19,41131,capelin
ln_tauE,2.5960761564785644,2.568965899044736,19,41131,capelin
ln_kappa,-4.607785606808849,-4.603711213915848,19,41131,capelin
ln_phi,0.004875038816681803,0.036790134310616375,19,41131,capelin
logit_rhoE,-1.757292894647811,-2.0168772586550583,19,41131,capelin
finv_power,0.11382944103590899,0.1303376518701951,19,41131,capelin
log_kappaS,-3.752399186239947,-2.6632002902869982,20,42686,capelin
kappaT,1.998815110331278,1.1745115514910296,20,42686,capelin
kappaST,0.5115413046457353,-5.996114200988668,20,42686,capelin
gamma_j,-1.366702112764886,-1.0997762169734466,20,42686,capelin
gamma_j,-0.20418998832033516,-0.1480275201207897,20,42686,capelin
beta_k,-3.6861840593749773,-4.294533556891705,20,42686,capelin
ln_tauO,2.291462337712019,2.2282074177790108,20,42686,capelin
ln_tauE,2.5960761564785644,2.491067555949079,20,42686,capelin
ln_kappa,-4.607785606808849,-4.489601528449988,20,42686,capelin
ln_phi,0.004875038816681803,0.0777927035662199,20,42686,capelin
logit_rhoE,-1.757292894647811,-1.87540182962153,20,42686,capelin
finv_power,0.11382944103590899,0.14032081886342276,20,42686,capelin
log_kappaS,-3.752399186239947,-3.7274095327306815,21,54982,capelin
kappaT,1.998815110331278,2.1237657296085732,21,54982,capelin
kappaST,0.5115413046457353,0.5526704698624445,21,54982,capelin
gamma_j,-1.366702112764886,-1.2415982248308874,21,54982,capelin
gamma_j,-0.20418998832033516,-0.050873904907417375,21,54982,capelin
beta_k,-3.6861840593749773,-5.524178383535664,21,54982,capelin
ln_tauO,2.291462337712019,2.2307295041090196,21,54982,capelin
ln_tauE,2.5960761564785644,2.41212871733224,21,54982,capelin
ln_kappa,-4.607785606808849,-4.474431172323182,21,54982,capelin
ln_phi,0.004875038816681803,0.00618885642332502,21,54982,capelin
logit_rhoE,-1.757292894647811,-1.8511294937723421,21,54982,capelin
finv_power,0.11382944103590899,0.1243005233341973,21,54982,capelin
log_kappaS,-3.752399186239947,-4.15602706640283,22,19751,capelin
kappaT,1.998815110331278,1.5714418527664524,22,19751,capelin
kappaST,0.5115413046457353,0.7896981686327293,22,19751,capelin
gamma_j,-1.366702112764886,-1.0971568206210829,22,19751,capelin
gamma_j,-0.20418998832033516,0.28043078835057283,22,19751,capelin
beta_k,-3.6861840593749773,-4.767029062771027,22,19751,capelin
ln_tauO,2.291462337712019,2.146225595114034,22,19751,capelin
ln_tauE,2.5960761564785644,2.481659813845642,22,19751,capelin
ln_kappa,-4.607785606808849,-4.523798159880054,22,19751,capelin
ln_phi,0.004875038816681803,-0.0941069610687126,22,19751,capelin
logit_rhoE,-1.757292894647811,-2.0293929093486542,22,19751,capelin
finv_power,0.11382944103590899,0.06422587352557828,22,19751,capelin
log_kappaS,-3.752399186239947,0.3636273271897903,23,82058,capelin
kappaT,1.998815110331278,1.848844575225051,23,82058,capelin
kappaST,0.5115413046457353,3177.7609672489016,23,82058,capelin
gamma_j,-1.366702112764886,-1.018929138302132,23,82058,capelin
gamma_j,-0.20418998832033516,-0.5196434980481001,23,82058,capelin
beta_k,-3.6861840593749773,-4.776994511113803,23,82058,capelin
ln_tauO,2.291462337712019,2.2371455891745176,23,82058,capelin
ln_tauE,2.5960761564785644,2.524871594719073,23,82058,capelin
ln_kappa,-4.607785606808849,-4.532591257779348,23,82058,capelin
ln_phi,0.004875038816681803,0.0794136479922591,23,82058,capelin
logit_rhoE,-1.757292894647811,-1.9720111688695048,23,82058,capelin
finv_power,0.11382944103590899,0.1382195014016463,23,82058,capelin
log_kappaS,-3.752399186239947,-4.009356092170413,24,32902,capelin
kappaT,1.998815110331278,4.091066650360064,24,32902,capelin
kappaST,0.5115413046457353,0.9411518258736566,24,32902,capelin
gamma_j,-1.366702112764886,-2.0783412638128276,24,32902,capelin
gamma_j,-0.20418998832033516,-0.9082088175986494,24,32902,capelin
beta_k,-3.6861840593749773,-3.826404412299584,24,32902,capelin
ln_tauO,2.291462337712019,2.2212914144789475,24,32902,capelin
ln_tauE,2.5960761564785644,2.4881297799408495,24,32902,capelin
ln_kappa,-4.607785606808849,-4.552183327538217,24,32902,capelin
