par_name,par_true,par_hat,iter,seed,type,AIC,species
gamma_j,-1.6722477746567348,-0.3224241829928545,1,40194,1-000,6080.446785471562,capelin
gamma_j,-1.6722477746567348,0.03361260975824474,1,40194,1-000,6080.446785471562,capelin
beta_k,-3.907675738449672,-4.269550760004227,1,40194,1-000,6080.446785471562,capelin
ln_tauO,2.495122826058058,2.516315007304192,1,40194,1-000,6080.446785471562,capelin
ln_tauE,2.4760094040671055,2.358707952942417,1,40194,1-000,6080.446785471562,capelin
ln_kappa,-4.481140234499602,-4.469017765349547,1,40194,1-000,6080.446785471562,capelin
ln_phi,-0.2822198315577172,-0.32582839337833824,1,40194,1-000,6080.446785471562,capelin
logit_rhoE,-1.508357337467413,-1.1178699384727249,1,40194,1-000,6080.446785471562,capelin
finv_power,-0.0661746743852703,-0.07263362856891896,1,40194,1-000,6080.446785471562,capelin
log_kappaS,-3.875531477279689,-4.492813550488157,1,40194,1-100,6069.369730155828,capelin
gamma_j,-1.6722477746567348,-0.7882407258211839,1,40194,1-100,6069.369730155828,capelin
gamma_j,-1.6722477746567348,0.10088287126571079,1,40194,1-100,6069.369730155828,capelin
beta_k,-3.907675738449672,-4.3360401170452905,1,40194,1-100,6069.369730155828,capelin
ln_tauO,2.495122826058058,2.506135301795574,1,40194,1-100,6069.369730155828,capelin
ln_tauE,2.4760094040671055,2.342311758714538,1,40194,1-100,6069.369730155828,capelin
ln_kappa,-4.481140234499602,-4.443599693966558,1,40194,1-100,6069.369730155828,capelin
ln_phi,-0.2822198315577172,-0.32944923816635224,1,40194,1-100,6069.369730155828,capelin
logit_rhoE,-1.508357337467413,-1.1813144170338903,1,40194,1-100,6069.369730155828,capelin
finv_power,-0.0661746743852703,-0.07398966959210648,1,40194,1-100,6069.369730155828,capelin
kappaT,2.312335730956876,1.3668698512278181,1,40194,1-010,6074.473599716348,capelin
gamma_j,-1.6722477746567348,-0.8590399371062146,1,40194,1-010,6074.473599716348,capelin
gamma_j,-1.6722477746567348,-0.11786716131377971,1,40194,1-010,6074.473599716348,capelin
beta_k,-3.907675738449672,-4.171459902083695,1,40194,1-010,6074.473599716348,capelin
ln_tauO,2.495122826058058,2.4950866295463867,1,40194,1-010,6074.473599716348,capelin
ln_tauE,2.4760094040671055,2.3303826445684717,1,40194,1-010,6074.473599716348,capelin
ln_kappa,-4.481140234499602,-4.431013760673087,1,40194,1-010,6074.473599716348,capelin
ln_phi,-0.2822198315577172,-0.33069797097615306,1,40194,1-010,6074.473599716348,capelin
logit_rhoE,-1.508357337467413,-1.2342090933180838,1,40194,1-010,6074.473599716348,capelin
finv_power,-0.0661746743852703,-0.07436259524531466,1,40194,1-010,6074.473599716348,capelin
log_kappaS,-3.875531477279689,-5.006560888611884,1,40194,1-110,6055.750671491198,capelin
kappaT,2.312335730956876,1.8472752104799386,1,40194,1-110,6055.750671491198,capelin
gamma_j,-1.6722477746567348,-2.0348241357299623,1,40194,1-110,6055.750671491198,capelin
gamma_j,-1.6722477746567348,0.15475347722777846,1,40194,1-110,6055.750671491198,capelin
beta_k,-3.907675738449672,-4.3108385151083635,1,40194,1-110,6055.750671491198,capelin
ln_tauO,2.495122826058058,2.4832128315183657,1,40194,1-110,6055.750671491198,capelin
ln_tauE,2.4760094040671055,2.31296588499037,1,40194,1-110,6055.750671491198,capelin
ln_kappa,-4.481140234499602,-4.397701710138829,1,40194,1-110,6055.750671491198,capelin
ln_phi,-0.2822198315577172,-0.33297007696288233,1,40194,1-110,6055.750671491198,capelin
logit_rhoE,-1.508357337467413,-1.3398912661489566,1,40194,1-110,6055.750671491198,capelin
finv_power,-0.0661746743852703,-0.07534045302838718,1,40194,1-110,6055.750671491198,capelin
gamma_j,-1.6722477746567348,-0.34266469380578835,2,27248,1-000,8195.445046428245,capelin
gamma_j,-1.6722477746567348,-0.006490455862280504,2,27248,1-000,8195.445046428245,capelin
beta_k,-3.907675738449672,-3.3769398889837796,2,27248,1-000,8195.445046428245,capelin
ln_tauO,2.495122826058058,2.449807156618735,2,27248,1-000,8195.445046428245,capelin
ln_tauE,2.4760094040671055,2.413089194721761,2,27248,1-000,8195.445046428245,capelin
ln_kappa,-4.481140234499602,-4.482741017733007,2,27248,1-000,8195.445046428245,capelin
ln_phi,-0.2822198315577172,-0.31175200709770373,2,27248,1-000,8195.445046428245,capelin
logit_rhoE,-1.508357337467413,-1.2688313598765562,2,27248,1-000,8195.445046428245,capelin
finv_power,-0.0661746743852703,-0.08021271385270254,2,27248,1-000,8195.445046428245,capelin
log_kappaS,-3.875531477279689,-2.1539631116761653,2,27248,1-100,8197.35497286302,capelin
gamma_j,-1.6722477746567348,-0.3633312812679671,2,27248,1-100,8197.35497286302,capelin
gamma_j,-1.6722477746567348,-0.006842695209787861,2,27248,1-100,8197.35497286302,capelin
beta_k,-3.907675738449672,-3.377800009834969,2,27248,1-100,8197.35497286302,capelin
ln_tauO,2.495122826058058,2.4497629219957426,2,27248,1-100,8197.35497286302,capelin
ln_tauE,2.4760094040671055,2.4129204148570804,2,27248,1-100,8197.35497286302,capelin
ln_kappa,-4.481140234499602,-4.482649716053034,2,27248,1-100,8197.35497286302,capelin
ln_phi,-0.2822198315577172,-0.3117791301484364,2,27248,1-100,8197.35497286302,capelin
logit_rhoE,-1.508357337467413,-1.27455160346797,2,27248,1-100,8197.35497286302,capelin
finv_power,-0.0661746743852703,-0.08022015811189877,2,27248,1-100,8197.35497286302,capelin
kappaT,2.312335730956876,2.5108825793577885,2,27248,1-010,8171.657225448533,capelin
gamma_j,-1.6722477746567348,-1.213219196539701,2,27248,1-010,8171.657225448533,capelin
gamma_j,-1.6722477746567348,-0.24829818308137414,2,27248,1-010,8171.657225448533,capelin
beta_k,-3.907675738449672,-3.334380173267534,2,27248,1-010,8171.657225448533,capelin
ln_tauO,2.495122826058058,2.432785277535102,2,27248,1-010,8171.657225448533,capelin
ln_tauE,2.4760094040671055,2.3952039538470045,2,27248,1-010,8171.657225448533,capelin
ln_kappa,-4.481140234499602,-4.445632313738163,2,27248,1-010,8171.657225448533,capelin
ln_phi,-0.2822198315577172,-0.3147032824140944,2,27248,1-010,8171.657225448533,capelin
logit_rhoE,-1.508357337467413,-1.4369084052788657,2,27248,1-010,8171.657225448533,capelin
finv_power,-0.0661746743852703,-0.08154976739403945,2,27248,1-010,8171.657225448533,capelin
log_kappaS,-3.875531477279689,-3.583170199311273,2,27248,1-110,8169.216038641425,capelin
kappaT,2.312335730956876,2.9307697716654584,2,27248,1-110,8169.216038641425,capelin
gamma_j,-1.6722477746567348,-1.7037503630278308,2,27248,1-110,8169.216038641425,capelin
gamma_j,-1.6722477746567348,-0.32095249876986204,2,27248,1-110,8169.216038641425,capelin
beta_k,-3.907675738449672,-3.360649603845825,2,27248,1-110,8169.216038641425,capelin
ln_tauO,2.495122826058058,2.4347754136889725,2,27248,1-110,8169.216038641425,capelin
ln_tauE,2.4760094040671055,2.3985272050395197,2,27248,1-110,8169.216038641425,capelin
